 System ; Web ; Mobile web ; Email ; CLI ; GUI ; REST ; SOAP ; Mylyn ; Visual Studio ; IntelliJ IDEA ; Others 
 Apache Bloodhound ; Yes ; No ; Optional ; No ; No ; No ; No ; Yes ; No ; No ; Yes XMLRPC 
 Assembla Tickets ; Yes ; No ; Yes ; Yes ; No ; Yes ; No ; Yes ; No ; Yes ; No 
 Axosoft ; Yes ; No ; Yes ; No ; Yes ; Yes ; Yes ; No ; No ; No ; Yes - iPhone 
 Bugzilla ; Yes ; No ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; No ; Yes ; Yes XMLRPC 
 Debbugs ; No ; No ; Yes ; Yes ; No ; No ; No ; No ; No ; No ; No 
 Faveo Helpdesk ; Yes ; No ; Yes ; No ; No ; Yes ; No ; No ; No ; No ; Yes - Android App iOS App 
 FogBugz ; Yes ; No ; Yes ; Yes ; No ; Yes ; No ; Yes ; No ; Yes ; Yes XML 
 Fossil ; Yes ; No ; No ; Yes ; No ; No ; No ; No ; No ; No ; No 
 FusionForge ; Yes ; No ; No ; No ; No ; No ; Yes ; No ; No ; No ; No 
GLPI ;Yes ; No ;Yes ;No ;No ;Yes ;No ;No ;No ; No ;No 
 GNATS ; Yes ; No ; Yes ; Yes ; Yes ; No ; No ; No ; No ; No ; No 
 HP Quality Center ; Yes ; No ; No ; No ; Yes ; Yes ; No ; Yes ; No ; Yes, via plugin ; Yes] 
 IBM Rational ClearQuest ; Yes ; No ; Yes ; Yes ; Yes ; Yes ; No ; Yes ; No ; No ; No 
 IBM Rational Team Concert ; Yes ; No ; No ; No ; Yes ; Yes ; No ; Yes ; No ; No ; No 
 Jira ; Yes ; YesUsing JIRA on a mobile device ; Yes ; YesBy third-party extension: plugins.atlassian.com ; Yes ; Yes ; Yes ; Yes ; No ; Yes ; Yes - Android App, iPhone App 
 Launchpad ; Yes ; No ; Yes ; No ; No ; Yes ; No ; No ; No ; No ; Yes - PythonLaunchpadlib is a Python client library for the Launchpad RESTful API. 
 MantisBT ; Yes ; No ; Yes ; No ; No ; No ; Yes ; Yes ; No ; Yes ; Yes - Android App 
 Microsoft Dynamics CRM ; Yes ; No ; Yes ; No ; No ; No ; Yes ; No ; No ; No ; No 
 org-mode ; No ; No ; No ; Yes ; No ; No ; No ; No ; No ; No ; No 
 OTRS ; Yes ; No ; Yes ; No ; No ; Yes ; Yes ; No ; No ; No ; No 
 Phabricator ; Yes ; No ; Yes ; Yes ; Yes ; Yes ; No ; No ; No ; Yes, via plugin ; No 
 Pivotal Tracker ; Yes ; No ; Yes ; Yes ; Yes ; Yes ; No ; No ; No ; Yes ; Yes - XML, iOS App 
 Redmine ; Yes ; YesFeature #19097: Responsive layout for mobile devices - Redmine ; Yes ; Partial The Ruby on Rails console can be used to manually create tickets or replies ; No ; Yes ; No ; Yes ; No ; Yes ; Yes - Android App, iOS App 
 Request Tracker ; Yes ; No ; Yes ; Yes ; No ; Yes ; No ; No ; No ; No ; No 
 Roundup ; Yes ; No ; Yes ; Yes ; No ; No ; No ; No ; No ; No ; Yes XMLRPC 
 StarTeam ; Yes ; No ; No ; No ; Yes ; No ; No ; No ; Yes ; No ; No 
 Supportworks ; Yes ; No ; Yes ; No ; Yes ; YesThrough 5005 API, but is undocumented ; No ; No ; No ; No ; No 
 SysAid ; Yes ; No ; Yes ; No ; Yes ; Yes ; Yes ; No ; No ; No ; No 
 Team Foundation Server ; Yes ; No ; Yes ; Yes ; No ; No ; Yes ; Yes ; No ; Yes, via plugin ; No 
 TestTrack ; Yes ; No ; Yes ; No ; Yes ; No ; Yes ; No ; No ; No ; Yes - XML, Eclipse 
 Trac ; Yes ; No#11953 (Responsive design for user interface) – The Trac Project ; Optional ; No ; No ; No ; No ; Yes ; No ; Yes ; Yes XMLRPC 
 TrackerSuite.Net ; Yes ; No ; Yes ; No ; No ; No ; No ; No ; No ; No ; No 
 Trello ; Yes ; Yes ; Yes ; No ; No ; Yes ; No ; No ; No ; Yes ; No 
 Tuleap ; Yes ; No ; Yes ; Yes ; No ; Yes ; Yes ; Yes ; No ; No ; No 
 Twproject ; Yes ; No ; Yes ; No ; No ; No ; No ; No ; No ; No ; No 
 Wrike ; Yes ; No ; No ; No ; No ; No ; No ; No ; No ; Yes, via plugin ; No 
 YouTrack ; Yes ; YesIntroducing YouTrack Mobile ; Yes ; No ; Yes ; Yes ; No ; Yes ; No ; Yes ; No  
 System ; Web ; Mobile Web ; Email ; CLI ; GUI ; REST ; SOAP ; Mylyn ; Visual Studio ; IntelliJ IDEA ; Others 
