 ; TGA ; RAW imports ; BMP ; GIF ; JPEG ; JPEG 2000 ; HD Photo ; PNG ; TIFF ; PSD ; PSP ; XCF ; PCX ; ORA ;HEIF 
 Ability Photopaint ; dunno ; dunno ; yes ; yes ; yes ; no ; dunno ; yes ; yes ; yes ; no ; no ; dunno ; dunno ; dunno 
 ACD Canvas ; dunno ; dunno ; yes ; yes ; yes ; no ; dunno ; yes ; yes ; yes ; yes ; no ; dunno ; dunno ; dunno 
 ACDSee (Win) ; dunno ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno 
 Acorn Image Editor ; dunno ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno ; dunno 
 Adobe Fireworks* ; dunno ; dunno ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; no ; no ; dunno ; dunno ; dunno 
 Adobe Photoshop ; dunno ; yes ; yes ; yes ; yes ; Via plug-inPhotoshop requires an optional plug-in from the installation disc to support JPEG 2000. ; yes ; yes ; yes ; yes ; no ; no ; yes ; dunno ; dunno 
 Adobe Photoshop Lightroom ; dunno ; yes ; no ; Via plug-inRequires the Any File plug-in ; yes ; Via plug-in ; no ; Via plug-in ; yes ; partialTo import and work with a multi-layered PSD file in Lightroom, the file must be saved in Photoshop with the Maximize PSD and PSB File Compatibility preference turned on. ; dunno ; dunno ; dunno ; dunno ; dunno 
 Affinity Photo ; yes ; yes ; no ; yes ; yes ; no ; no ; yes ; yes ; yes ; no ; no ; no ; no ; yes 
 Autodesk SketchBook Pro ; dunno ; dunno ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; yes ; no ; no ; no ; dunno ; dunno 
 Artipic ; dunno ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; partial ; no ; no ; yes ; dunno ; dunno 
 ArtRage ; dunno ; dunno ; yes ; yes ; yes ; no ; dunno ; yes ; yes ; yes ; no ; no ; dunno ; dunno ; dunno 
 Artweaver ; dunno ; no ; yes ; yes ; yes ; partial ; dunno ; yes ; yes ; partial ; no ; no ; yes ; dunno ; dunno 
 Bibble* ; dunno ; yes ; no ; no ; yes ; no ; no ; no ; yes ; no ; no ; no ; no ; dunno ; dunno 
 Brush Strokes Image Editor ; dunno ; dunno ; yes ; yes ; yes ; no ; ; yes ; yes ; no ; no ; no ; dunno ; ; 
 Capture One ; dunno ; yes ; yes ; yes ; yes ; yes ; ; yes ; yes ; yes ; dunno ; dunno ; dunno ; ; 
 Chasys Draw IES ; dunno ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; 
 CinePaint ; dunno ; yes ; yes ; yes ; yes ; no ; ; yes ; yes ; partial ; no ; yes ; dunno ; ; 
 CodedColor PhotoStudio Pro ; dunno ; dunno ; yes ; yes ; yes ; yes ; ; yes ; yes ; yes ; no ; no ; yes ; ; 
 Corel PaintShop Pro ; dunno ; yes ; yes ; yes ; yes ; yes ; ; yes ; yes ; partialNo layer modes support ; yes ; no ; yes ; ; 
 Corel Painter ; dunno ; dunno ; yes ; yes ; yes ; no ; ; no ; yesCorel Painter does not support TIFF with LZW compression. ; yes ; yes ; no ; Import ; ; 
 Corel Photo-Paint ; dunno ; yes ; yes ; yes ; yes ; yes ; ; yes ; yes ; yes ; yes ; no ; yes ; ; 
 darktable ; dunno ; yes ; no ; no ; yes ; yes ; no ; yes ; yes ; no ; no ; no ; no ; ; 
 Deluxe Paint*Deluxe Paint can load and save only IFF ILBM file format. ; no ; no ; no ; no ; no ; no ; ; no ; no ; no ; no ; no ; no ; ; 
 DigiKam ; dunno ; yes ; yes ; yes ; yes ; yes ; ; yes ; yes ; no ; no ; yes ; dunno ; ; 
 Erdas Imagine ; dunno ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; no ; no ; no ; Import ; ; 
 Fatpaint ; dunno ; no ; no ; no ; yes ; no ; no ; yes ; no ; no ; no ; no ; no ; ; 
